"day" "doy" "date" "year" "cpue" "ccpue" "p.ccpue"
1 153 "6/1" 1984 0 0 0
2 154 "6/2" 1984 1.15 1.15 0.004232609
3 155 "6/3" 1984 0 1.15 0.004232609
4 156 "6/4" 1984 0 1.15 0.004232609
5 157 "6/5" 1984 0 1.15 0.004232609
6 158 "6/6" 1984 0 1.15 0.004232609
7 159 "6/7" 1984 2.02 3.17 0.01166728
8 160 "6/8" 1984 2.5 5.67 0.020868605
9 161 "6/9" 1984 6.24 11.91 0.043835112
10 162 "6/10" 1984 4.91 16.82 0.061906515
11 163 "6/11" 1984 4.62 21.44 0.078910563
12 164 "6/12" 1984 12.52 33.96 0.124990799
13 165 "6/13" 1984 2.69 36.65 0.134891424
14 166 "6/14" 1984 5.37 42.02 0.15465587
15 167 "6/15" 1984 16.8 58.82 0.216488774
16 168 "6/16" 1984 14.04 72.86 0.268163416
17 169 "6/17" 1984 4.18 77.04 0.283548031
18 170 "6/18" 1984 25.94 102.98 0.379020979
19 171 "6/19" 1984 13.89 116.87 0.430143541
20 172 "6/20" 1984 14.12 130.99 0.482112624
21 173 "6/21" 1984 4.82 135.81 0.499852779
22 174 "6/22" 1984 11.97 147.78 0.543908723
23 175 "6/23" 1984 3.95 151.73 0.558446816
24 176 "6/24" 1984 10.94 162.67 0.598711815
25 177 "6/25" 1984 4.41 167.08 0.614942952
26 178 "6/26" 1984 3.99 171.07 0.629628266
27 179 "6/27" 1984 5.63 176.7 0.65034965
28 180 "6/28" 1984 10.1 186.8 0.687523003
29 181 "6/29" 1984 4.08 190.88 0.702539566
30 182 "6/30" 1984 1.28 192.16 0.707250644
31 183 "7/1" 1984 6.03 198.19 0.72944424
32 184 "7/2" 1984 14.32 212.51 0.78214943
33 185 "7/3" 1984 2.61 215.12 0.791755613
34 186 "7/4" 1984 11.44 226.56 0.833860876
35 187 "7/5" 1984 4.2 230.76 0.849319102
36 188 "7/6" 1984 5.77 236.53 0.87055576
37 189 "7/7" 1984 0 236.53 0.87055576
38 190 "7/8" 1984 2.53 239.06 0.879867501
39 191 "7/9" 1984 7.29 246.35 0.906698565
40 192 "7/10" 1984 2.28 248.63 0.915090173
41 193 "7/11" 1984 0 248.63 0.915090173
42 194 "7/12" 1984 0.85 249.48 0.918218623
43 195 "7/13" 1984 0.89 250.37 0.921494295
44 196 "7/14" 1984 0 250.37 0.921494295
45 197 "7/15" 1984 1.43 251.8 0.926757453
