"year" "N"
1976 240624
1977 339513
1978 296890
1979 309572
1980 321946
1981 431483
1982 216810
1983 192834
1984 218147
1985 191116
1986 134021
1987 208264
1988 255435
1989 282872
1990 285000
1991 231044
1992 301015
1993 308195
1994 434224
1995 414839
1996 365296
1997 361830
1998 208267
1999 181869
2000 146741
2001 252621
2002 252026
2003 276929
2004 411977
2005 390720
2006 335004
2007 282204
2008 242499
2009 212493
2010 124463
2011 131892
2012 99607
2013 90603
2014 131005
2015 163543
2016 168797
2017 166863
