"year" "d50" "fcst_d50" "fcst_se_d50"
1984 174.7991774 NA NA
1985 183.5442161 NA NA
1986 173.1871771 NA NA
1987 172.6623966 NA NA
1988 172.141799 NA NA
1989 173.704253 NA NA
1990 175.7781541 NA NA
1991 175.8042817 NA NA
1992 173.2938102 NA NA
1993 168.3061706 NA NA
1994 169.7993038 NA NA
1995 172.4389844 170.2088385 2.148497497
1996 166.2719845 170.6322738 2.690561096
1997 170.5622756 170.3523974 2.03016807
1998 175.0681353 173.9433593 1.818113598
1999 180.9002516 178.852174 2.316958257
2000 171.5263105 177.1268238 2.105647923
2001 174.132715 174.8285538 2.197150696
2002 169.9922473 174.7373006 2.465628867
2003 168.9125934 169.9754061 2.61813377
2004 173.9836598 170.2669153 2.559639682
2005 173.6358805 171.5552396 3.684967713
2006 175.4289065 177.1865525 2.879925624
2007 177.8246925 173.5938463 2.747547655
2008 176.0537844 181.7808846 3.705911731
2009 173.1333465 175.3086623 3.25229588
2010 173.1407076 174.5972778 3.040960898
2011 173.8753724 175.2742747 2.757540363
2012 178.4975743 175.9525594 3.044769448
2013 173.5333125 176.6161893 2.65834274
2014 166.5640649 167.8636188 3.122027702
2015 174.5724163 169.7688256 2.669885994
2016 174.1753378 164.4999296 3.224882277
2017 178.7294427 172.3518767 2.729110954
